Geneid	Length	SRR10758340	SRR10758341	SRR10758342	SRR10758343	SRR10758344	SRR10758345	SRR10758346	SRR10758347	SRR10758348	SRR10758349	SRR22746225	SRR22746226	SRR22746227	SRR22746228	SRR8508226	SRR8508227	SRR8508228	SRR8508229	SRR8508230	SRR8508231	SRR8508232	SRR8508233	SRR5877048	SRR5877049	SRR5877050	SRR5877051	SRR5877052	SRR5877053	SRR5877054	SRR5877055	SRR5877056	SRR5877057	SRR5877058	SRR5877059	SRR5877060	SRR5877061	SRR6715625	SRR6715626	SRR6715627	SRR6715628	SRR6715629	SRR6715630
EQU24_RS06510	1473	314	491	910	350	477	453	1020	826	480	671	8233	5498	5656	4957	1307	1379	1147	1410	779	1179	1578	954	6743	6409	2352	1434	1051	1379	2039	1712	1113	1787	1883	1217	1163	1440	1231	631	620	1921	1610	1399
EQU24_RS06515	417	504	779	540	331	326	256	453	267	887	1348	31663	23342	20728	17359	3708	4715	3869	4146	2005	3163	4374	3340	22643	20871	8140	5694	1309	1817	2626	2718	1541	2681	3131	3267	2443	2593	2340	1116	734	3771	2104	2005
EQU24_RS06520	789	97	177	540	107	235	177	755	563	170	323	4867	3319	3891	3443	627	750	677	743	397	586	804	483	3045	2924	1129	780	701	846	1427	1341	794	1292	1204	618	761	812	683	413	459	1839	1243	1235
EQU24_RS06525	876	255	370	669	141	470	337	850	688	334	799	6594	4439	4407	4315	1698	1844	1723	1909	1455	2078	2183	1501	6479	6114	2385	1496	1397	1855	3024	2818	1651	2888	2032	1034	1511	1561	1262	789	944	3921	3025	2773
EQU24_RS06530	237	64	83	201	44	184	177	269	167	107	229	874	666	678	663	527	545	475	537	305	485	610	391	1796	1527	597	392	287	375	753	545	325	539	553	304	420	346	368	202	188	666	526	435
EQU24_RS22705	141	53	98	39	56	100	101	102	75	79	177	808	514	617	576	231	298	223	344	145	232	321	200	1001	949	434	327	132	247	374	292	134	334	391	239	311	267	151	111	67	469	308	298
EQU24_RS06535	1665	1650	2011	2451	1125	1289	1022	1935	1329	830	3316	37349	26198	21147	18175	5028	7432	5604	9495	2909	4637	6581	4707	32291	33375	14684	9657	5968	8753	13493	15401	7673	15449	8272	15091	10217	6490	5085	3037	2294	24034	15876	14758
EQU24_RS06540	474	25	41	44	8	135	93	108	96	53	113	1232	843	898	847	444	512	371	395	236	330	375	358	1322	1321	445	288	252	256	467	423	343	451	429	200	311	351	395	227	211	616	478	457
EQU24_RS06545	1320	461	567	818	239	1025	701	879	690	460	1242	6165	4302	4266	3735	1139	1363	1881	2641	879	1568	2131	1367	11380	10203	3812	2620	1920	2668	4176	3796	2238	3919	2783	2177	2531	2420	2665	1536	1229	5033	3867	3705
EQU24_RS06550	645	327	314	554	311	410	313	669	475	323	709	3624	2750	2773	2366	838	1145	1098	1501	668	1061	1371	915	4005	3474	1839	1213	1416	1637	2425	1938	1553	2287	2174	1614	1557	1163	1000	768	648	2846	2292	1874
EQU24_RS06555	675	268	385	544	227	476	319	695	559	307	614	2868	2191	2177	1879	852	947	1133	1417	576	961	1182	976	4453	4269	1824	1306	1450	1825	3192	2435	1447	2351	1525	1264	1460	1298	1051	689	507	3105	2211	2208
EQU24_RS06560	879	289	465	598	291	489	406	717	599	412	798	5741	4221	4610	4099	1425	1389	1617	1617	1553	2190	2251	1166	4803	4324	2065	1322	1632	2001	3218	2391	1607	2444	2259	1553	1451	1730	1118	795	708	3349	2472	2280
EQU24_RS06570	1137	161	302	718	116	621	410	1064	864	285	725	4562	3032	3471	3104	1454	1660	1394	1499	902	1386	1526	1164	4120	3826	1379	832	748	1291	1853	1950	830	2044	1583	979	1285	1243	988	600	594	2393	1715	1587
EQU24_RS06575	1368	590	692	606	283	656	517	706	582	370	1289	5800	3983	4272	3820	2599	3207	2666	3180	1307	2068	2171	2320	12625	10192	5749	4058	5078	7011	11035	8927	5419	10045	5164	4751	5478	3721	3128	2105	2084	12539	9353	8329
EQU24_RS06580	1455	671	814	640	424	744	523	702	526	545	1651	4308	2944	3118	2604	1720	2275	1475	2669	881	1317	1690	1262	13497	11811	5337	3460	5633	7689	11533	8555	5466	8872	5403	3070	5841	3684	2523	1612	1294	10459	8375	7769
EQU24_RS06585	315	191	257	430	124	641	384	461	310	284	631	4867	3218	4308	3790	1024	1253	869	1118	614	1041	1071	791	3817	3170	1293	948	1247	1499	2355	1625	1062	1646	1669	913	1593	1380	754	488	386	2007	1519	1428
EQU24_RS06590	654	99	140	150	83	360	223	155	152	165	552	1489	1025	1225	1174	640	855	603	800	462	709	787	670	4408	3514	1757	1220	1681	2484	3193	2267	1561	2590	1653	1179	1783	1202	785	550	355	3413	2485	2185
EQU24_RS06595	1371	328	508	1097	227	435	294	1164	1063	345	687	6010	4069	4361	3851	844	990	731	1075	522	823	961	709	6683	5699	2554	1775	1706	2302	3023	3216	1965	3417	2371	1536	1728	1997	1433	878	785	4056	3143	2999
EQU24_RS06600	414	114	266	163	91	297	175	195	161	158	230	604	488	592	527	585	591	490	608	431	556	510	519	2756	2524	1067	797	501	699	970	1233	749	1200	1005	688	834	923	530	396	285	1756	1062	944
EQU24_RS06605	630	90	157	398	64	149	125	539	392	107	212	1671	1020	1563	1171	273	294	275	332	181	260	348	185	2012	1791	697	459	468	543	855	909	592	884	865	368	541	590	464	206	172	979	800	754
EQU24_RS06610	975	373	569	650	307	566	480	805	637	491	1124	12114	8415	8990	7763	2509	2100	2333	1898	2337	3259	2520	1497	8071	7256	2896	1888	1173	2207	2959	2620	1125	2581	3388	2078	2135	2561	1163	755	596	3813	2580	2494
EQU24_RS06615	1656	449	738	822	289	1204	777	1135	1144	731	1448	13764	9460	9478	8481	2647	2618	2822	2858	2152	3223	3239	1805	13372	13521	4295	2999	1962	3394	4627	4650	2025	4608	3578	3506	2872	3065	1995	1207	879	5848	4300	3866
EQU24_RS06625	618	2348	3360	1609	2320	6372	3676	1552	1074	2372	4204	24809	17851	16098	13592	7222	8138	6569	7396	3749	5869	7599	4984	29627	23468	12107	8010	6773	8885	15753	11539	7136	12051	9254	9398	6983	7024	4821	2460	1730	14226	11489	11046
EQU24_RS06635	675	161	367	562	109	621	387	648	643	353	625	4071	2588	3024	2865	514	615	540	546	317	500	619	423	2652	2420	1087	824	514	923	1237	1133	544	1201	1215	743	901	663	453	330	232	1889	1182	1111
EQU24_RS06640	561	664	1071	1075	462	1216	845	1044	827	795	1936	23455	16100	15291	12851	4886	6593	4780	5337	2817	4326	5315	4171	15355	13850	5921	4218	2069	3347	4894	5046	2644	5563	4455	6986	4347	3602	1859	1154	869	7190	4668	4271
EQU24_RS06645	621	307	556	499	232	1032	633	619	548	429	1147	5505	3657	3778	3457	1859	2141	1636	2181	1080	1584	2016	1437	9566	9036	3380	2381	1587	2680	3455	3704	1712	3842	2588	1907	2437	2149	1837	1272	1202	5807	3600	3326
EQU24_RS06655	450	34	68	95	45	245	203	150	160	82	280	1967	1306	1364	1423	577	615	491	572	274	525	614	397	2791	2483	874	630	449	686	984	954	576	994	672	389	642	676	596	428	366	1306	969	916
EQU24_RS06660	1695	392	561	304	253	1118	699	439	327	487	1233	4259	2998	3147	2721	1870	2290	1763	2435	1174	1709	2128	1586	9620	8488	3796	2770	1945	2822	4159	3699	2201	4002	2502	2266	2318	2062	2016	1200	1138	5748	3841	3600
EQU24_RS06665	741	284	431	224	347	2265	1715	271	263	352	249	3825	2436	2352	1977	5148	5187	3576	3665	3064	4636	5301	3350	4479	3780	1612	1359	1390	2417	3354	3422	1751	3713	2806	6079	4560	4935	1256	813	705	3215	2539	2310
EQU24_RS06670	1260	781	1106	537	948	2548	1978	629	800	706	383	6175	4034	4184	3151	6336	6474	4540	3786	3830	5525	5753	3404	2509	2200	1127	821	1129	1532	2424	2003	1338	2227	7068	9300	5846	5826	493	322	455	1531	1288	1268
EQU24_RS06675	537	137	324	100	289	472	441	104	103	219	84	1423	1008	1155	819	2807	2931	1889	1646	1876	2453	2294	1617	917	790	454	340	566	760	1240	1040	578	1021	3888	4341	2791	2999	174	172	134	710	580	517
EQU24_RS06680	645	319	638	538	530	1186	1018	581	597	513	202	3956	2804	2760	2034	3298	3281	2404	2136	1650	2660	3306	1416	2048	1935	879	512	1276	1456	3243	1689	1062	1641	6823	5217	4156	4641	404	191	200	1017	945	897
EQU24_RS06685	363	248	501	149	379	946	838	172	199	276	202	1785	1131	1221	1035	3727	3880	2598	2319	2727	3505	3842	2268	1360	1136	591	382	1124	1811	2841	1149	627	1370	4495	5251	3477	2452	224	172	171	1020	807	729
EQU24_RS06690	492	208	477	251	373	923	824	276	315	263	325	2785	1892	1965	1547	3767	3960	2730	2172	2435	3523	3884	1944	2505	2237	1074	653	1711	2149	3603	1485	1005	1629	5618	7523	4518	3058	496	232	321	1278	1003	1032
EQU24_RS06695	747	446	894	452	642	1910	1346	491	567	507	295	5609	3851	4186	3226	5065	5121	3561	2643	3056	4248	4499	2734	2218	2035	957	688	1513	1966	2385	1265	753	1374	5481	8519	4792	3547	398	291	192	998	841	792
EQU24_RS06700	603	207	434	256	268	1698	1280	414	267	677	570	12241	8660	10677	8448	2748	2784	2200	2013	1897	2637	3278	1594	2984	2715	1051	749	752	1058	1288	1003	614	1072	3770	3148	2587	1935	849	554	710	1158	886	718
EQU24_RS06705	1551	334	709	360	393	1024	888	421	426	496	687	7940	5509	5396	4109	3443	3825	3183	3033	2113	3249	4084	2237	5125	5221	2102	1343	1189	1806	2650	2439	1243	2474	4797	4984	3689	3372	975	634	781	2891	2136	1852
EQU24_RS06710	603	126	276	96	157	650	441	120	80	212	374	3695	2428	2663	2215	1539	1507	1375	1270	990	1471	1800	907	2147	2106	789	614	427	715	886	851	479	901	1928	1910	1365	1367	534	424	354	1154	700	618
EQU24_RS06715	1551	288	555	633	294	894	601	735	640	442	723	10355	6911	6247	5356	2519	2809	2548	2380	1553	2463	3125	1829	5563	5258	2207	1463	1170	1759	2640	2485	1293	2514	3583	4420	2555	2339	1093	680	626	2902	2134	1902
EQU24_RS06720	819	355	638	472	330	1077	832	430	244	420	1100	8273	5634	5467	5028	2583	3178	2625	3254	1717	2657	3409	2477	7149	6684	2919	2017	1452	1833	2813	2590	1723	2727	3528	3499	2686	2420	1529	852	826	3482	2508	2265
EQU24_RS06725	966	911	1515	838	782	1959	1542	819	538	1211	1961	10853	7542	7677	6420	3291	4153	3223	3903	2189	3243	4331	2864	12280	11107	5145	3421	2006	3674	4769	4598	2277	5042	5904	5768	3834	3600	2382	1733	1842	6450	4499	4259
EQU24_RS06730	753	401	853	341	463	1220	865	358	190	735	1188	5888	4204	4498	3594	1602	1738	1477	1590	1034	1473	1742	1359	6557	5980	2935	2036	1082	1768	2249	1920	1152	2105	3262	2349	2196	1934	1430	1100	665	3178	2320	2094
EQU24_RS06735	1116	770	1432	789	664	1367	783	859	566	743	1309	12149	8100	9297	7250	2489	2978	2471	2556	1557	2475	2467	2477	10349	8536	4628	3806	2236	3163	4631	3692	2182	4088	4229	4121	3391	2505	2116	1633	946	6364	4364	4147
EQU24_RS06740	891	736	1116	593	542	943	626	648	437	633	969	8155	5910	6008	4875	1831	2012	1772	2138	1243	1824	2356	1609	7578	6128	3716	2827	1677	2302	3380	2440	1727	2852	3934	3674	2752	2160	1666	1156	800	4376	3468	3143
EQU24_RS06745	972	462	782	1669	446	1056	699	1758	1400	695	1000	10126	6816	7617	6498	2084	2122	1871	1957	1131	1809	2132	1550	7741	6304	2896	2068	1522	2120	3192	2369	1654	2650	3725	2037	2512	2387	1408	1022	699	3406	2608	2522
EQU24_RS06750	1119	748	1424	1738	650	914	673	1861	1800	828	1047	12703	8945	8102	6849	2864	3496	3267	3895	1726	2747	3722	2266	14548	13538	5256	3687	2410	3454	5177	5260	2684	5136	5579	4809	3810	3855	2267	1296	1189	6594	4904	4550
EQU24_RS06755	1605	1349	2436	828	1056	1668	1069	1100	847	1612	1856	11833	8247	9337	7552	2544	2852	2504	3000	1332	2176	2479	2128	12669	9700	3990	2968	2078	3044	4001	3491	2233	3325	5791	2956	3029	3931	2046	1304	628	4069	3063	3142
EQU24_RS06760	2046	538	1030	1586	346	928	714	1913	1730	877	1488	18201	12166	12847	11775	2006	2243	2010	2616	1252	1769	2338	1588	12989	13600	4867	3303	2159	3131	4080	4426	2346	4186	6003	1993	3461	4235	3013	1734	1255	4805	3600	3314
EQU24_RS06765	1260	1956	3442	548	1213	4682	2497	570	400	2650	2896	34626	22874	23818	19458	6095	6387	5077	4559	2714	4441	4573	3696	21342	18182	6969	4579	2582	4148	5364	5129	2742	4953	8898	5261	6966	7300	3181	2047	1220	5832	4589	4496
EQU24_RS06770	981	505	789	642	308	1271	744	689	575	622	1615	11049	7323	8317	7320	1986	2369	1956	2306	1061	1767	2085	1525	14726	12929	4771	3175	1958	3320	4386	3906	1907	3914	5213	2444	3779	3974	2150	1223	1200	4824	3448	3427
EQU24_RS06775	1146	1123	1480	735	723	1529	1004	926	601	1066	2077	13403	9324	9401	8152	2847	3350	2813	3265	1648	2556	3259	2694	12084	10938	4647	3567	2083	3157	4552	4227	2570	4337	4905	4237	3020	2841	1775	1268	650	5622	3804	3519
EQU24_RS06780	918	377	777	758	276	567	430	957	726	496	807	11413	7768	8192	7403	1427	1603	1337	2058	815	1183	1538	1250	7401	7027	3198	2409	1131	2228	2887	3422	1570	3686	3151	1857	1660	2053	1474	1032	717	4174	2990	2604
EQU24_RS06785	939	473	842	756	317	439	298	863	674	411	741	9322	6634	6716	5619	1396	1879	1577	2140	794	1292	1574	1388	8553	7907	3563	2673	1317	2311	3242	3613	1848	3727	3550	2918	2126	2461	1455	1115	724	4821	3266	3094
EQU24_RS06790	954	452	1115	874	681	860	547	1124	868	639	1099	11909	7887	8716	7483	1880	2233	1851	2176	1087	1756	2086	1632	8987	7953	3514	2557	1312	2123	3017	3459	1852	3676	3892	2252	2338	2689	1490	1023	713	4759	3022	2845
EQU24_RS06795	942	452	1093	730	352	702	506	931	652	463	934	9739	6596	6386	5708	1471	1764	1475	2278	775	1210	1900	1222	8869	8333	3954	2816	1231	1677	2653	3402	1804	3468	3489	2617	2179	2466	1505	923	715	4337	3025	2744
EQU24_RS06800	921	365	873	909	333	1304	906	1244	921	500	1500	7763	5438	5575	4923	1667	2148	1805	2134	1011	1512	2025	1476	9611	10167	3467	2278	1381	1995	2928	3570	1646	3451	3641	1804	2122	2143	1703	1121	959	4261	3102	2873
EQU24_RS06805	768	579	982	452	341	521	451	557	376	483	890	12412	7862	8310	6771	1662	2006	1731	2364	899	1283	1649	1399	9677	8878	3488	2610	986	1757	2524	3305	1384	3377	3757	2344	2238	1942	1168	809	505	4204	2763	2590
EQU24_RS06810	792	1455	2440	678	920	1407	837	818	501	1480	1870	16241	10307	11969	9589	3427	3864	2872	3222	1571	2471	2449	2949	14932	10806	5424	4234	2161	3636	4813	5593	2858	5694	7681	4260	4167	3939	2479	1825	1085	7606	5215	5089
EQU24_RS06815	1827	2563	3913	735	1929	3263	1909	965	686	2337	3075	43298	28780	31327	25304	4634	5262	4108	4757	2556	3702	4401	3376	24657	23331	9770	7111	3571	5979	7794	8636	3771	8555	11824	7028	7102	6413	4711	3008	2283	11594	7618	7043
EQU24_RS06820	1476	1151	2241	445	970	1980	1228	570	434	1126	1310	24165	15533	16370	13228	2534	2665	2262	2879	1183	1918	2582	1846	13591	12053	4163	2915	1921	3344	4120	4017	2119	3919	5276	2843	4260	4217	2139	1478	1256	4978	3734	3456
EQU24_RS06825	573	184	419	39	131	511	368	84	58	329	516	7864	5363	5709	4646	1908	2260	1772	1875	957	1561	1761	1290	6870	5611	1951	1559	683	1402	1638	2022	840	1937	1933	1664	2076	1793	890	904	383	2694	1830	1620
EQU24_RS06830	816	334	825	250	318	1429	748	351	262	653	1092	9373	6179	6972	5774	2372	2642	2261	2182	1286	2111	2319	1869	7645	6936	2876	2050	1158	1924	2487	2572	1360	2671	3147	1873	2218	2392	1621	1126	1011	3640	2439	2271
EQU24_RS06835	810	706	1234	486	559	1436	1043	595	456	812	1770	21976	15247	17272	15005	2302	2658	2239	2876	1365	2144	2934	1851	13139	11777	4726	3365	1608	2875	4017	4011	1987	4253	5294	3185	3247	2860	2154	1371	1343	5767	3823	3321
EQU24_RS06840	1203	676	1212	1409	664	1382	985	1485	1279	984	2543	30417	19557	20951	18272	3094	3847	3291	4803	1694	2794	4466	2394	18729	18717	6695	4581	2651	4200	6410	7154	3168	7249	7545	4792	4045	3981	3336	2498	2619	9472	6151	5703
EQU24_RS06845	1299	292	464	283	167	428	359	513	412	332	679	7942	5104	5155	4407	1181	1434	1212	1582	758	1093	1380	1016	5990	6063	2359	1662	929	1451	2149	2199	1018	2251	1919	2000	1371	1159	1081	636	641	2965	2197	1957
EQU24_RS06850	495	93	109	285	101	215	133	379	249	155	243	1369	922	890	880	342	355	357	356	212	346	373	227	1473	1270	581	380	353	485	681	544	329	563	535	278	369	365	322	223	188	672	501	509
EQU24_RS06855	285	67	130	54	73	275	228	119	65	156	393	1811	1182	1416	1241	308	299	272	257	164	241	344	249	1371	1220	502	297	262	516	651	530	208	506	439	199	307	303	290	254	278	684	488	499
EQU24_RS06860	1326	384	646	1240	461	906	715	1425	1094	468	1471	5357	3926	4185	3725	1485	1839	1357	1878	924	1442	1885	1311	6768	6052	2593	1564	1826	2472	4219	3417	2007	3712	2459	1977	1721	1718	1589	1092	1010	4608	3469	3225
EQU24_RS22300	180	62	87	99	41	403	261	161	131	112	190	2581	1707	1603	1423	352	420	323	431	225	329	486	299	1464	1296	500	302	279	434	621	616	343	629	384	324	384	325	335	180	218	742	526	546
EQU24_RS06870	921	105	168	160	80	355	245	212	137	178	512	3126	2268	2410	2130	826	1077	901	1169	488	734	983	727	4625	4255	1923	1391	889	1382	1964	1783	1091	1961	1607	1014	1291	1128	1278	848	767	2895	1857	1710
EQU24_RS06880	180	20	29	81	7	61	52	122	104	30	74	1159	804	695	648	104	154	91	148	48	100	154	82	1193	1119	430	211	161	321	441	348	194	372	216	202	209	201	252	136	138	489	297	320
EQU24_RS06885	921	98	173	206	103	507	297	186	128	255	595	3184	2056	2245	1914	827	1089	853	1081	528	791	1033	732	4529	4042	1788	1305	851	1353	1811	1767	982	1975	1602	1015	1258	1116	1144	829	753	2843	1772	1594
EQU24_RS22305	543	171	425	389	245	619	434	310	245	209	406	4610	3272	2982	2577	1717	2345	1733	2128	1009	1574	2089	1559	6098	5511	2116	1562	894	1276	2052	2246	1233	2321	1308	2921	1839	1719	959	565	470	3147	2012	1905
EQU24_RS06895	591	169	251	187	128	966	552	208	171	340	684	6720	4512	4828	4184	1632	1959	1524	1550	961	1611	1858	1394	6318	5406	2308	1476	791	1414	2144	1687	947	1911	1861	1552	1414	1416	871	580	483	2535	1694	1666
EQU24_RS06900	627	242	436	289	191	1310	922	334	234	549	1015	9496	6621	6133	6010	2851	3644	2991	3400	1562	2764	3501	2250	10236	9862	3616	2558	1409	2058	2914	3111	1752	3455	2709	2761	2176	2042	1713	1181	918	4520	2795	2605
EQU24_RS06905	906	278	382	213	206	660	436	219	144	395	1002	4871	3422	3369	3244	1310	1623	1315	1709	791	1205	1565	1106	5633	5087	2248	1516	1114	1647	2275	2401	1394	2490	2010	1253	1393	1483	1361	1125	1072	3470	2363	2113
EQU24_RS06910	942	66	102	129	51	161	128	164	122	123	195	3876	2548	2567	1984	307	330	351	339	144	292	426	192	1866	1663	656	397	394	519	940	602	380	706	577	497	471	346	364	223	218	925	608	564
EQU24_RS06915	1269	108	180	223	99	318	232	292	240	258	304	5369	3441	3421	2840	507	571	543	722	339	466	788	345	3240	2824	1069	706	573	991	1347	1169	475	1148	1089	1058	827	593	508	331	283	1517	1018	917
EQU24_RS06920	549	251	357	201	214	392	297	225	154	217	382	4401	3080	2895	2313	789	961	775	1002	423	680	936	635	2999	2858	1104	790	438	706	1034	1200	555	1139	915	1035	695	696	491	409	337	1651	1102	1010
EQU24_RS06925	921	120	226	150	183	377	260	193	105	198	414	6271	4160	3870	3199	974	1092	887	1048	601	865	1198	686	3475	3378	1226	779	370	682	980	1073	401	1093	911	1450	791	634	442	270	240	1586	1087	1029
EQU24_RS06930	888	91	186	112	110	383	266	189	111	189	392	4239	2900	2791	2490	855	933	824	841	504	727	937	519	2801	2842	973	662	452	619	934	968	527	961	861	849	677	606	496	290	245	1495	987	898
EQU24_RS06935	1206	590	779	742	381	972	716	768	464	543	1937	11163	7645	7186	5980	3630	4814	3966	4672	1969	3252	3937	3150	11734	10506	4964	3648	2281	2888	5057	4553	2924	5040	4134	4820	3161	2820	2161	1287	1058	6803	4905	4515
EQU24_RS06940	1218	585	717	897	320	446	362	796	417	444	1217	6024	4132	3859	3337	1807	2434	1808	2628	933	1536	2049	1590	10222	9400	4638	2794	2297	3005	5183	3984	2431	4218	3229	2945	2348	2161	2208	1064	1092	5511	4082	3843
EQU24_RS06945	1800	1421	1713	2742	1130	1202	893	2212	1688	1349	2215	15924	12149	10954	9836	4177	5390	4024	5935	2124	3227	4622	3809	19964	18052	8173	5247	5517	7826	11141	8713	4905	8812	5850	5788	4890	4801	4643	2765	2509	10859	7985	7628
EQU24_RS06950	534	1066	1227	1364	916	1727	1089	1284	796	899	1430	7430	5497	5693	5389	1569	1681	1261	1976	798	1217	1720	1061	8061	8788	3407	2154	1900	3643	4016	4344	1724	3699	2004	1309	1382	1795	3651	3271	2423	4404	3580	3334
EQU24_RS06955	885	913	2365	861	924	6987	4009	1080	698	2000	1911	26974	22909	21105	20353	4291	5896	4262	4288	2446	3957	4947	3851	19190	18198	5925	4551	2473	4183	5966	5945	2763	5773	4635	8144	5064	5710	2379	1848	1698	7240	4355	4096
EQU24_RS06960	171	40	74	104	35	136	107	103	88	81	159	2455	1678	1601	1392	472	552	437	488	293	431	541	307	1143	1084	390	270	170	189	280	331	180	314	443	387	284	262	182	108	78	405	252	244
EQU24_RS06965	381	200	306	535	229	524	435	471	280	237	628	5780	3845	3525	3054	1509	1649	1248	1575	746	1212	1873	854	4105	3814	1375	1052	410	819	1281	1350	577	1412	1263	2038	1210	1221	493	480	373	1969	1498	1378
EQU24_RS06970	381	382	622	1387	478	776	589	1119	701	359	949	2136	1664	1318	1161	2474	3149	2039	2136	1335	2015	2357	1960	5334	4697	1911	1248	773	1059	1665	1666	1019	1887	1780	2757	1757	1492	734	554	415	2575	2047	1628
EQU24_RS06975	1785	2539	3967	5437	3327	3354	2880	4589	3412	2282	4026	25265	18980	15107	13391	12254	14603	10705	12815	5665	9434	12833	7585	28070	25298	12401	7831	6814	7650	13438	10367	7375	11093	12336	16134	9562	8616	6261	3384	3056	14512	12404	10972
EQU24_RS06980	786	848	1534	3953	1443	1167	1052	3383	1980	942	1559	16015	11138	9226	7842	4004	4991	3823	5129	1874	3079	4904	3300	12484	11776	5413	3472	2312	3606	5886	4774	2516	4971	4181	5761	3302	3094	2254	1331	1113	6344	4757	4551
EQU24_RS06985	249	361	757	421	573	654	596	419	297	598	765	2995	2132	2240	1925	1652	2104	1507	1829	923	1291	1702	1494	3910	3188	1899	1259	908	1074	1636	1387	914	1406	2131	1836	1173	1271	1039	568	510	1612	1394	1266
EQU24_RS06990	954	331	565	2016	332	646	495	2186	1689	426	781	4853	3295	3157	2801	1709	1985	1870	2085	891	1483	2360	1228	6426	5747	2722	1710	1532	1758	2621	2372	1681	2462	2144	1596	1375	1628	1711	832	718	2822	2250	2226
EQU24_RS06995	303	110	201	221	86	179	152	286	180	134	198	1752	1317	1010	879	516	605	528	532	283	453	666	358	3164	2689	1187	701	454	713	1185	960	506	1041	706	608	497	552	670	369	344	1156	907	908
EQU24_RS07000	438	68	146	713	77	315	169	1024	775	120	300	3954	2572	2858	2609	839	1011	849	859	445	781	1060	569	3148	3062	994	772	351	555	844	841	406	813	776	732	655	739	581	372	298	1092	719	677
EQU24_RS07005	483	562	807	567	339	1070	643	788	508	587	1700	6101	4173	3807	3436	2242	2660	2347	3098	1138	2004	2643	1983	13833	11942	5978	4035	3637	5176	8112	7088	4088	7401	2856	2192	2989	2628	2850	1717	1444	10051	6813	6291
EQU24_RS07015	1005	16150	14209	3104	9351	4611	3230	2816	1679	13475	14052	70521	57688	44665	37962	46468	73167	49055	75427	25369	39865	58113	45996	154328	145122	63460	48906	19164	29007	40075	56983	31296	60445	50069	68752	28455	28026	6547	5175	2635	51549	37467	34115
EQU24_RS07020	1251	303	523	1106	206	665	395	1661	1223	533	1103	18745	12027	12031	10149	1725	1800	1610	1708	980	1567	1733	1204	10405	9762	3587	2542	1210	2155	2874	2837	1274	2827	3564	2153	1903	1949	1510	856	797	3545	2591	2346
EQU24_RS07025	1500	391	750	869	282	857	613	1249	1022	586	1470	18178	12403	12528	10530	3518	4416	3694	4407	2079	3248	3934	3039	14996	14920	5455	3583	2433	3574	5347	5650	2857	5438	4195	3643	3242	3418	2864	2082	2074	7542	5074	4730
EQU24_RS07030	930	215	332	301	117	382	272	559	485	270	800	3278	2037	2080	1757	1261	1751	1401	1626	793	1296	1453	1327	6090	5148	2575	1759	2019	2953	4194	4053	2314	4168	2098	1699	2025	1519	1081	781	814	5898	3662	3383
EQU24_RS07035	765	334	448	574	212	359	258	695	742	292	601	2669	2091	1841	1692	597	621	585	810	339	545	704	368	5232	4954	1946	1181	1991	2526	4367	3164	1856	3030	1092	976	1378	1099	1035	492	695	3451	2884	2839
EQU24_RS07040	2871	942	1365	1964	739	1242	951	2538	1857	1052	2112	11366	8054	6960	5931	3210	3973	3455	4590	1953	3053	3850	2888	18432	16102	7779	5227	5795	8141	11844	10020	6045	10846	5526	6016	5602	4467	3762	2399	2164	15417	10816	9666
EQU24_RS07045	921	997	1460	1893	794	1120	1015	1873	1215	936	2817	24224	17974	15089	12992	4744	6425	4743	7550	2606	3895	5338	4380	25734	19068	12352	9652	5687	8673	12389	12436	7382	14518	8344	11929	9203	5776	4381	3212	2296	23044	15377	13827
EQU24_RS07055	1272	246	349	1037	155	796	524	1353	1216	390	830	3966	2716	2809	2566	875	914	966	1067	433	828	1054	724	6140	5086	2063	1305	1576	2105	2968	2348	1603	2235	1738	956	1451	1187	1334	763	685	3119	2419	2165
EQU24_RS07060	264	66	93	90	19	412	294	180	178	164	438	7456	4785	5483	4854	710	884	795	1284	365	585	920	555	5577	5450	1725	1319	1176	1523	1737	2476	1277	2338	1938	687	1568	1379	662	572	587	3627	2237	2082
EQU24_RS07065	525	24	50	117	44	113	75	177	206	55	94	445	334	308	290	293	303	305	367	194	329	489	241	1331	1208	512	314	338	494	731	573	391	680	419	429	295	313	360	175	177	807	546	492
EQU24_RS07070	390	75	128	443	102	181	147	413	333	97	262	3147	2368	2221	1812	899	1056	850	876	535	744	900	758	3487	2847	1226	1038	586	635	1029	896	655	1026	1011	1393	864	596	547	414	305	1553	1113	837
EQU24_RS07075	1299	317	334	1046	280	325	313	1063	840	211	493	7537	5284	4347	3776	1276	1527	1299	2010	726	1157	1619	969	5234	4654	2663	1856	1161	1232	2230	1387	1465	2012	2461	3891	2191	1230	958	590	431	2668	2328	1494
EQU24_RS07080	2379	965	1426	1335	769	1455	1019	1631	1355	1163	1753	10947	8000	7654	6403	2324	2834	2080	2990	1326	2047	2583	2027	13990	13171	5404	3623	3257	4344	6156	4966	3099	4951	4681	2943	3832	3274	3720	2243	1947	5459	4681	4314
EQU24_RS07085	669	165	288	443	133	293	266	570	523	338	397	2784	1812	2057	1690	483	548	430	597	351	497	559	414	3511	3070	1443	905	686	1045	1375	1286	751	1349	1194	459	654	732	893	622	484	1568	1271	1104
EQU24_RS07090	633	163	271	181	150	355	225	262	145	226	731	7251	4544	6330	5818	1060	1130	936	1107	509	846	1026	738	3549	3612	1267	833	549	832	1230	1223	556	1226	3131	1187	1259	918	611	331	392	1643	1122	1085
